Time (s),Gold,Noob Mines Owned,OK Mines Owned,Good Mines Owned,Super Mines Owned,Alpha Gold Mines Owned,Sigma Gold Mines Owned,Income,Noob Mines Cost,OK Mines Cost,Good Mines Cost,Super Mines Cost,Alpha Gold Mines Cost,Sigma Gold Mines Cost,Noob Mines Bought,OK Mines Bought,Good Mines Bought,Super Mines Bought,Alpha Gold Mines Bought,Sigma Gold Mines Bought
0,0,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
2,2,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
3,3,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
4,4,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
5,5,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
6,6,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
7,7,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
8,8,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
9,9,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
10,10,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
11,11,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
12,12,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
13,13,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
14,14,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
15,15,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,1,0,0,0,0,0
16,1,1,0,0,0,0,0,2,17,100,300,2000,15000,250000,0,0,0,0,0,0
17,3,1,0,0,0,0,0,2,17,100,300,2000,15000,250000,0,0,0,0,0,0
18,5,1,0,0,0,0,0,2,17,100,300,2000,15000,250000,0,0,0,0,0,0
19,7,1,0,0,0,0,0,2,17,100,300,2000,15000,250000,0,0,0,0,0,0
20,9,1,0,0,0,0,0,2,17,100,300,2000,15000,250000,0,0,0,0,0,0
21,11,1,0,0,0,0,0,2,17,100,300,2000,15000,250000,0,0,0,0,0,0
22,13,1,0,0,0,0,0,2,17,100,300,2000,15000,250000,0,0,0,0,0,0
23,15,1,0,0,0,0,0,2,17,100,300,2000,15000,250000,0,0,0,0,0,0
24,17,1,0,0,0,0,0,2,17,100,300,2000,15000,250000,1,0,0,0,0,0
25,2,2,0,0,0,0,0,3,19,100,300,2000,15000,250000,0,0,0,0,0,0
26,5,2,0,0,0,0,0,3,19,100,300,2000,15000,250000,0,0,0,0,0,0
27,8,2,0,0,0,0,0,3,19,100,300,2000,15000,250000,0,0,0,0,0,0
28,11,2,0,0,0,0,0,3,19,100,300,2000,15000,250000,0,0,0,0,0,0
29,14,2,0,0,0,0,0,3,19,100,300,2000,15000,250000,0,0,0,0,0,0
30,17,2,0,0,0,0,0,3,19,100,300,2000,15000,250000,0,0,0,0,0,0
31,20,2,0,0,0,0,0,3,19,100,300,2000,15000,250000,1,0,0,0,0,0
32,4,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
33,8,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
34,12,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
35,16,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
36,20,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,1,0,0,0,0,0
37,4,4,0,0,0,0,0,5,22,100,300,2000,15000,250000,0,0,0,0,0,0
38,9,4,0,0,0,0,0,5,22,100,300,2000,15000,250000,0,0,0,0,0,0
39,14,4,0,0,0,0,0,5,22,100,300,2000,15000,250000,0,0,0,0,0,0
40,19,4,0,0,0,0,0,5,22,100,300,2000,15000,250000,0,0,0,0,0,0
41,24,4,0,0,0,0,0,5,22,100,300,2000,15000,250000,1,0,0,0,0,0
42,7,5,0,0,0,0,0,6,25,100,300,2000,15000,250000,0,0,0,0,0,0
43,13,5,0,0,0,0,0,6,25,100,300,2000,15000,250000,0,0,0,0,0,0
44,19,5,0,0,0,0,0,6,25,100,300,2000,15000,250000,0,0,0,0,0,0
45,25,5,0,0,0,0,0,6,25,100,300,2000,15000,250000,1,0,0,0,0,0
46,6,6,0,0,0,0,0,7,27,100,300,2000,15000,250000,0,0,0,0,0,0
