Time,Gold,Noob Mines,OK Mines,Good Mines,Super Mines,Alpha Mines,Sigma Mines,Income,Noob Cost,OK Cost,Good Cost,Super Cost,Alpha Cost,Sigma Cost,Buy Noob,Buy OK,Buy Good,Buy Super,Buy Alpha,Buy Sigma
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
2,2,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
3,3,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
4,4,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
5,5,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
6,6,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
7,7,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
8,8,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
9,9,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
10,10,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
11,11,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
12,12,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
13,13,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
14,14,0,0,0,0,0,0,1,15,100,300,2000,15000,250000,0,0,0,0,0,0
15,0,1,0,0,0,0,0,1,15,100,300,2000,15000,250000,1,0,0,0,0,0
16,1,1,0,0,0,0,0,2,17,100,300,2000,15000,250000,0,0,0,0,0,0
17,3,1,0,0,0,0,0,2,17,100,300,2000,15000,250000,0,0,0,0,0,0
18,5,1,0,0,0,0,0,2,17,100,300,2000,15000,250000,0,0,0,0,0,0
19,7,1,0,0,0,0,0,2,17,100,300,2000,15000,250000,0,0,0,0,0,0
